first_name,last_name,title,emp_no
Shen,Bernardinello,Technique Leader,11649
Gill,Stenning,Senior Staff,11660
Oksana,Brizzi,Senior Staff,11664
Kristian,Marchegay,Senior Staff,11667
Henk,Felder,Technique Leader,11673
Valeri,Ferriere,Engineer,11676
Fumitake,Benzmuller,Senior Engineer,11681
Oksana,Gide,Senior Staff,11684
Domenick,Raczkowsky,Staff,11690
Hideo,Coorg,Senior Engineer,11693
Dante,Rothe,Senior Staff,11696
Danel,Heusch,Senior Engineer,11713
Sanjoy,Ranft,Senior Engineer,11732
Leszek,Sudbeck,Senior Engineer,11733
Amalendu,Picci,Senior Staff,11735
Shugo,Uchoa,Senior Engineer,11736
Martina,Garnier,Assistant Engineer,11737
Koichi,Marrakchi,Senior Staff,11746
Lihong,Massonet,Engineer,11748
Jiafu,Emiris,Senior Staff,11751
Abdelwaheb,Vakili,Engineer,11756
Yuriy,Liesche,Engineer,11763
Sanjay,Anick,Senior Engineer,11764
Zorica,Junet,Senior Staff,11765
Chandrasekaran,Lampe,Senior Staff,11769
Arumugam,Jakobus,Senior Engineer,11770
Gaurav,Penz,Engineer,11772
Aron,Wroclawski,Engineer,11774
Dhritiman,Fontan,Senior Engineer,11778
Shunichi,Thombley,Staff,11779
Gal,Mamelak,Senior Engineer,11791
Chenxi,Thambidurai,Senior Staff,11797
Tommaso,Dayang,Senior Staff,11801
Chriss,Binding,Technique Leader,11807
Amabile,Bhattacharjee,Senior Engineer,11810
Herb,Boissier,Senior Staff,11811
Niranjan,Markovitch,Senior Staff,11817
Sastry,Madeira,Staff,11822
Weiyi,Iacovou,Senior Engineer,11823
Chaosheng,Pettis,Assistant Engineer,11829
Arto,Zlotek,Engineer,11832
Ortrud,Bakhtari,Senior Staff,11836
Elvia,Bugrara,Staff,11841
Moto,Piazza,Senior Staff,11842
Shawna,Demeyer,Senior Engineer,11844
Fai,Perly,Senior Engineer,11846
Zeljko,Kusakabe,Senior Staff,11853
Divier,Farrag,Senior Staff,11857
Alejandra,Deville,Senior Engineer,11862
Pradeep,Kriebel,Staff,11864
Kwee,Demke,Engineer,11868
Fumino,Luca,Engineer,11869
Nalini,Sommen,Senior Engineer,11871
Cheong,Riexinger,Senior Staff,11872
Leszek,Kobuchi,Senior Engineer,11876
Arra,Staelin,Senior Staff,11881
Badri,Azulay,Senior Staff,11888
Mitchel,Validov,Senior Engineer,11894
Shaunak,Benzmuller,Technique Leader,11896
Cordelia,Setlzner,Senior Staff,11897
Hideo,Boguraev,Engineer,11906
Ashish,Mondadori,Senior Engineer,11911
Miomir,Mawatari,Senior Engineer,11915
Jiakeng,VanScheik,Engineer,11917
Leni,Felcyn,Engineer,11926
Gunilla,Chiodo,Senior Staff,11931
Basil,Erman,Senior Engineer,11933
Aruna,Verspoor,Staff,11938
Ult,Anido,Assistant Engineer,11940
Along,Aumann,Senior Engineer,11944
Limsoon,Marakhovsky,Staff,11945
Yahiko,Nergos,Senior Engineer,11948
Martijn,Harbusch,Technique Leader,11949
Bernt,Haumacher,Senior Engineer,11951
Arup,Morrey,Engineer,11965
Sibyl,Beausoleil,Senior Staff,11972
Yechezkel,Pews,Staff,11980
Jaana,Hedayat,Senior Engineer,11983
Erzsebet,Peltason,Technique Leader,11989
Marit,Dalphin,Senior Staff,11993
Sigeru,Fiebach,Senior Staff,11994
Marko,Dehkordi,Senior Engineer,12007
Zhilian,Coorg,Senior Staff,12011
Kensei,Guenter,Staff,12015
Chikara,Rahimi,Senior Engineer,12021
Chuanyi,Eppinger,Technique Leader,12023
Mayumi,Lanzelotte,Staff,12024
Ingemar,Walstra,Senior Engineer,12028
Shuky,Cromarty,Staff,12030
Aemilian,Piazza,Staff,12034
Mads,Ratzlaff,Senior Staff,12036
Arunas,Katzenelson,Senior Staff,12037
Bluma,Kermarrec,Senior Staff,12040
Masaki,Lubachevsky,Staff,12043
Rance,Hemaspaandra,Senior Engineer,12044
Jordanka,Ligten,Assistant Engineer,12047
Yuchang,Tchuente,Engineer,12050
Yechezkel,Pelc,Senior Engineer,12053
Odysseas,Braccini,Staff,12054
Toshimi,Antonakopoulos,Technique Leader,12060
Margareta,Worfolk,Senior Staff,12062
Lein,Bale,Senior Engineer,12063
Ayonca,Burnard,Senior Engineer,12069
Ger,Shokrollahi,Technique Leader,12070
Karlis,Siprelle,Senior Staff,12076
Panayotis,Feinberg,Senior Staff,12080
Xinan,Yamaashi,Senior Staff,12082
Bilhanan,Socorro,Senior Staff,12089
Shigenori,Angelopoulos,Engineer,12090
Lansing,Cunliffe,Senior Engineer,12091
Kauko,Unno,Senior Staff,12092
Evgueni,Oxenboll,Senior Engineer,12093
Weiru,Pearson,Senior Staff,12094
Nobuyoshi,Kuzuoka,Senior Staff,12099
Aron,Erde,Staff,12102
Satyanarayana,Avouris,Senior Staff,12112
Shiv,Rubsam,Staff,12114
Satoru,Krone,Senior Engineer,12122
Xiahua,Syrzycki,Senior Staff,12123
Shounak,Erman,Engineer,12125
Takahito,Brender,Engineer,12138
Xudong,Paciorek,Senior Staff,12140
Suebskul,Grandbois,Senior Staff,12149
Shem,Perly,Senior Engineer,12159
Aamer,Garrabrants,Senior Staff,12160
Muneo,Chachaty,Engineer,12164
Xiaobin,Maquelin,Senior Engineer,12165
Arnd,Salverda,Senior Staff,12168
Jianhua,Llado,Senior Staff,12172
Slavian,Plavsic,Senior Engineer,12174
Harngdar,Iisaku,Engineer,12183
Guther,Nooteboom,Senior Staff,12186
Abdulah,Engberts,Senior Engineer,12190
Rosella,Bazzichi,Engineer,12191
Feiyu,Klyachko,Senior Engineer,12192
Sushant,Rossi,Senior Engineer,12205
Barton,Janetzko,Senior Engineer,12206
Vugranam,Ashish,Senior Staff,12210
Kwangho,Brizzi,Senior Staff,12213
Aloke,Mansanne,Engineer,12216
Yaghout,Strooper,Senior Engineer,12218
Junsik,Gadepally,Senior Staff,12219
Vincent,Melter,Senior Engineer,12221
Abdelwaheb,Holburn,Senior Staff,12222
Niteen,Koyama,Senior Engineer,12223
Yuriy,Bellone,Engineer,12230
Nishit,Bharadwaj,Senior Engineer,12231
Honesty,Haumacher,Staff,12235
Satoru,Wolniewicz,Engineer,12242
Subbu,Penttonen,Technique Leader,12247
Eldridge,Sadowski,Senior Engineer,12249
Kerhong,Aloia,Senior Engineer,12250
Guadalupe,Reghbati,Senior Staff,12256
Kankanahalli,Eiter,Senior Engineer,12258
Mart,Pagter,Engineer,12264
Mohammed,Whitcomb,Senior Engineer,12269
Shakhar,Kornyak,Senior Staff,12270
Behnaam,Grandbois,Senior Staff,12272
Jaideep,Uehara,Senior Staff,12273
Hisao,Langford,Senior Engineer,12281
Tadahiro,Delgrange,Engineer,12282
Masamitsu,Koyama,Senior Staff,12291
Tetsurou,Rodham,Senior Engineer,12298
Mototsugu,Cronau,Senior Staff,12308
Susanne,Lubachevsky,Senior Engineer,12311
Hyuncheol,Duclos,Engineer,12316
Weiyi,Crabtree,Staff,12317
DAIDA,Bruckman,Senior Engineer,12327
Atilio,Prampolini,Staff,12328
Kagan,Besselaar,Staff,12338
Pranay,Czaja,Staff,12339
Rasiah,Luga,Senior Engineer,12341
Sorina,Slaats,Senior Staff,12343
Vidar,Hutton,Senior Engineer,12355
Neelam,Cummings,Assistant Engineer,12364
Kamakshi,Bisiani,Senior Engineer,12365
Gor,Dechter,Senior Staff,12368
Mooi,Driscoll,Senior Staff,12373
Kazuhisa,Serna,Technique Leader,12379
Amalendu,Klerer,Senior Staff,12381
Arumugam,Hebert,Senior Engineer,12388
Stevo,Reeken,Engineer,12394
Sanjit,Felder,Senior Staff,12395
Mihalis,Luga,Senior Staff,12399
Shao,Ibel,Senior Staff,12411
Hugh,Gadepally,Senior Engineer,12413
Dannz,Spelt,Senior Engineer,12417
Toshimi,Gulik,Senior Engineer,12421
Berhard,Demos,Senior Staff,12422
Shahaf,Valtorta,Technique Leader,12426
Zissis,Daescu,Senior Staff,12427
Xumin,Bernardinello,Engineer,12434
Yongmao,Mondadori,Senior Staff,12438
Sanjeeva,Perng,Senior Engineer,12450
Hiroyasu,Francisci,Engineer,12452
Kerryn,Farris,Staff,12454
Shai,Milicic,Staff,12464
Cullen,Nations,Senior Staff,12466
Ioana,Baezner,Staff,12468
Filipe,Roison,Senior Engineer,12475
Tetsushi,Schade,Staff,12480
Mona,Reghbati,Senior Staff,12487
Etsuo,Gerteisen,Senior Engineer,12488
Arnould,Munck,Senior Engineer,12489
Jackson,Muchinsky,Senior Engineer,12490
Kristinn,Hammerschmidt,Senior Engineer,12492
Stein,Penz,Senior Staff,12497
Izaskun,Lamba,Senior Staff,12499
Morrie,Matheson,Senior Staff,12501
Danil,VanScheik,Senior Engineer,12502
Adly,Rosaz,Engineer,12504
Gay,Rodite,Engineer,12506
Rutger,Krzyzanowski,Senior Staff,12509
Tomofumi,Melter,Engineer,12514
Pranav,Wilharm,Senior Engineer,12515
Goetz,Basart,Engineer,12520
Trygve,Zhang,Technique Leader,12522
Tonia,Casley,Senior Staff,12523
Tetsushi,Demeyer,Engineer,12524
Conor,Cincotta,Senior Staff,12528
Yongmao,Gerlach,Senior Engineer,12534
Avishai,Gonthier,Senior Staff,12537
Poornachandra,Bresenham,Senior Staff,12540
Shih,Nanard,Senior Staff,12541
Kazuhide,Bouloucos,Senior Staff,12542
Jeane,Tzvieli,Senior Engineer,12551
Aral,Vesna,Senior Staff,12553
Spyrose,DuCasse,Assistant Engineer,12555
Stafford,Kopetz,Senior Engineer,12557
Danco,Niizuma,Senior Engineer,12558
Honesty,Ducloy,Engineer,12563
Remco,Nitsche,Staff,12564
Abdelaziz,Candan,Engineer,12571
Mong,Gelosh,Engineer,12574
Oguz,Tasistro,Senior Engineer,12586
Yagil,Kenevan,Senior Engineer,12588
Anoosh,Chleq,Senior Engineer,12589
Gita,Rosenbaum,Senior Staff,12590
Breannda,Roisin,Senior Staff,12596
Kazuhito,Petereit,Senior Staff,12597
Ghassan,Simkin,Senior Engineer,12601
Utpal,Roison,Staff,12603
Nectarios,Mondadori,Senior Staff,12608
Chandrasekaran,Thimonier,Staff,12612
Shawna,Rusterholz,Senior Staff,12617
Raimond,Scharstein,Senior Staff,12623
Gill,Comyn,Senior Engineer,12626
Sreekrishna,Falco,Senior Staff,12630
Xinyu,Restivo,Senior Engineer,12635
Yuuichi,Debuse,Senior Staff,12636
Yuqun,Seiwald,Engineer,12638
Zeljko,Schapire,Senior Engineer,12639
Suebskul,Gips,Senior Staff,12642
Bernt,Jayawardene,Senior Engineer,12644
Kyoichi,Decaestecker,Staff,12645
Pragnesh,Bael,Senior Staff,12651
Seshu,Morton,Senior Staff,12656
Leucio,Alvarado,Engineer,12662
Nobuyoshi,Stellhorn,Technique Leader,12663
Zhonghua,Parveen,Staff,12664
Stamatina,Prenel,Engineer,12666
Seongbae,Alameldin,Engineer,12670
Mayumi,Varman,Senior Engineer,12672
Bader,Staudhammer,Staff,12680
Weicheng,Badache,Staff,12687
Luerbio,Boudaillier,Senior Engineer,12689
Oddvar,Gils,Senior Engineer,12691
Uri,Brizzi,Senior Staff,12697
Gregory,Zastre,Staff,12707
Ronghao,Botman,Senior Engineer,12709
Honglan,Showalter,Staff,12715
Tzu,Jiafu,Staff,12717
Elliott,Cheshire,Senior Staff,12722
Inderjeet,Flexer,Senior Staff,12725
Fumitake,Panwar,Senior Engineer,12726
Nahla,Rahier,Senior Engineer,12729
Yongmao,Waymire,Senior Staff,12731
Mara,Takanami,Senior Staff,12732
Gil,Frijda,Senior Engineer,12734
Heekeun,Lunn,Senior Engineer,12746
